site,shell_num,age,growth_period,growth_year_range,chondro_dist_addition,chondro_cumul_dist,shell_cumul_dist,Param,Value
S. Cape: Eel Pond,17,4,3,3-4,0.49,4.84,62.974416,,
S. Cape: Eel Pond,18,,,,,,,,
N. Cape: Dennis,19,2,1,1-2,7.72,7.72,86.278224,,
N. Cape: Dennis,19,3,2,2-3,3.57,11.29,111.941526,,
N. Cape: Dennis,19,4,3,3-4,1.89,13.18,124.083264,,
N. Cape: Dennis,19,5,4,4-5,1.38,14.56,132.316896,,
N. Cape: Dennis,19,6,5,5-6,1.54,16.1,140.8756,,
N. Cape: Dennis,19,7,6,6-7,1.05,17.15,146.33035,,
N. Cape: Dennis,19,8,7,7-8,0.79,17.94,150.230896,,
N. Cape: Barnstable,Am1,2,1,1-2,4.92,4.92,63.653104,,
N. Cape: Barnstable,Am1,3,2,2-3,2.59,7.51,84.657486,,
N. Cape: Barnstable,Am1,4,3,3-4,2.95,10.46,106.293376,,
N. Cape: Barnstable,Am1,5,4,4-5,1.71,12.17,117.719254,,
N. Cape: Barnstable,Am1,6,5,5-6,1.19,13.36,125.187456,,
N. Cape: Barnstable,Am1,7,6,6-7,0.94,14.3,130.8064,,
N. Cape: Barnstable,Am2,2,1,1-2,4.93,4.93,63.737814,,
N. Cape: Barnstable,Am2,3,2,2-3,4.98,9.91,102.444366,,
N. Cape: Barnstable,Am2,4,3,3-4,2.59,12.5,119.83,,
N. Cape: Barnstable,Am2,5,4,4-5,1.49,13.99,128.980686,,
N. Cape: Barnstable,Am2,6,5,5-6,1.42,15.41,137.122966,,
N. Cape: Barnstable,Am2,7,6,6-7,1.25,16.66,143.823216,,
N. Cape: Barnstable,Am2,8,7,7-8,0.88,17.54,148.277776,,
N. Cape: Barnstable,Am3,2,1,1-2,2.41,2.41,41.505366,,
N. Cape: Barnstable,Am3,3,2,2-3,2.04,4.45,59.64015,,
N. Cape: Barnstable,Am3,4,3,3-4,2.13,6.58,77.331504,,
N. Cape: Barnstable,Am3,5,4,4-5,1.6,8.18,89.785264,,
N. Cape: Barnstable,Am3,6,5,5-6,1.42,9.6,100.2376,,
N. Cape: Barnstable,Am3,7,6,6-7,0.84,10.44,106.154896,,
N. Cape: Barnstable,Am3,8,7,7-8,1.28,11.72,114.791824,,
N. Cape: Barnstable,Am3,9,8,8-9,0.64,12.36,118.938256,,
N. Cape: Barnstable,Am3,10,9,9-10,0.72,13.08,123.465904,,
N. Cape: Barnstable,Am3,11,10,10-11,0.45,13.53,126.221974,,
N. Cape: Barnstable,Am3,12,11,11-12,0.39,13.92,128.564704,,
N. Cape: Dennis,Am4,2,1,1-2,10.53,10.53,106.777174,,
N. Cape: Dennis,Am4,3,2,2-3,1.58,12.11,117.332206,,
N. Cape: Dennis,Am4,4,3,3-4,1.69,13.8,127.8484,,
N. Cape: Dennis,Am4,5,4,4-5,1.06,14.86,134.036256,,
N. Cape: Dennis,Am4,6,5,5-6,0.77,15.63,138.333934,,
S. Cape: Eel Pond,Am5,,,,,,,,
S. Cape: Eel Pond,Am6,,,,,,,,
S. Cape: Eel Pond,Am7,,,,,,,,
S. Cape: Eel Pond,Am8,,,,,,,,
S. Cape: Eel Pond,Am9,,,,,,,,
S. Cape: Eel Pond,Am10,,,,,,,,
S. Cape: Eel Pond,Am11,,,,,,,,
S. Cape: Eel Pond,G1,2,1,1-2,3.48,3.48,51.162544,,
S. Cape: Eel Pond,G1,3,2,2-3,1.34,4.82,62.804464,,
S. Cape: Eel Pond,G2,2,1,1-2,2.24,2.24,39.941536,,
S. Cape: Eel Pond,G3,2,1,1-2,2.26,2.26,40.125936,,
S. Cape: Eel Pond,G4,2,1,1-2,1.92,1.92,36.975904,,
S. Cape: Eel Pond,G5,2,1,1-2,2.57,2.57,42.969814,,
N. Cape: Barnstable,G6,1,,,,,74.7,,
N. Cape: Provincetown,G7,2,1,1-2,5.81,5.81,71.082646,,
N. Cape: Provincetown,G7,3,2,2-3,3.18,8.99,95.816686,,
S. Cape: Eel Pond,G8,,,,,,,,
S. Cape: Eel Pond,G9,1,,,,,,,
S. Cape: Eel Pond,G10,,,,,,,,
S. Cape: Eel Pond,G11,2,1,1-2,1.84,1.84,36.230016,,
S. Cape: Eel Pond,G11,3,2,2-3,1.36,3.2,48.6664,,
S. Cape: Eel Pond,G11,4,3,3-4,1.61,4.81,62.719446,,
S. Cape: Eel Pond,G11,5,4,4-5,1.2,6.01,72.721686,,
S. Cape: Eel Pond,G11,6,5,5-6,0.63,6.64,77.811456,,
S. Cape: Eel Pond,G12,,,,,,,,
S. Cape: Eel Pond,G13,1,,,,,64.8,,
S. Cape: Eel Pond,G14,2,1,1-2,2.01,2.01,37.812886,,
S. Cape: Eel Pond,G14,3,2,2-3,1.25,3.26,49.203136,,
S. Cape: Eel Pond,G14,4,3,3-4,0.6,3.86,54.515056,,
S. Cape: Eel Pond,G15,2,1,1-2,3.24,3.24,49.024336,,
S. Cape: Eel Pond,G15,3,2,2-3,2.53,5.77,70.753494,,
S. Cape: Eel Pond,G15,4,3,3-4,0.96,6.73,78.529494,,
N. Cape: Barnstable,G16,2,1,1-2,7.45,7.45,84.19215,,
N. Cape: Barnstable,G16,3,2,2-3,3.97,11.42,112.808704,,
N. Cape: Barnstable,G16,4,3,3-4,2.42,13.84,128.087616,,
N. Cape: Barnstable,G16,5,4,4-5,1.98,15.82,139.368864,,
N. Cape: Barnstable,G16,6,5,5-6,1.17,16.99,145.519086,,
N. Cape: Barnstable,G16,7,6,6-7,1,17.99,150.471886,,
